web-scraper-order,author,title,content,positively_rated
1578435708-8343,Polly,Like,So far so good,1
1578435601-7934,Amazon Customer,Fine,When a cover is added to it it can make the screen protector lift up,1
1578435221-6562,B. Peden,Perfect for iPad,No issues installing. Works great!,1
1578435279-6781,Jason McMurry,Received and installed the product yesterday. It came with ...,"Received and installed the product yesterday. It came with the standard alcohol pad, dry pad, and adhesive dust remover to help prep my screen, which was handy. It also came with 3 adhesive “hinges” and instructions on how to align the protector perfectly. I thought this was unique and simple. Worked perfectly.",1
1578435305-6876,Amazon Customer,Great customer service,I received the product and it Did not work. Put a lot of air bubbles underneath and I have used multiple screen protectors in the past.  The company kindly contacted me and sent another. The second worked well.,1
1578435917-9092,L. Wilson,Great product. Installation instructions are easy to follow and ...,Great product. Installation instructions are easy to follow and simple. The product covers the entire screen of my IPad Air,1
1578435155-6324,AmazonAddict,Easy to install!,I love this product. The system they use made this the easiest install I've ever done.,1
1578435747-8494,Daniel Hartmann,Awesome,Couldn’t be happier,1
1578435063-5979,Sarah Hamilton,cheaply made,"Seemed great at first, was easy to install but has cracked after one month of use. There is also no anti-glare features that were claimed or smudge-proof.",0
1578435542-7702,Jared,Good quality and quick delivery.,Good quality and quick delivery.,1
1578435386-7159,Maddie,It came broken,I liked it came in quickly but it was broken when I opened it.,0
1578435339-6992,Danny,Great Product,"Straight forward directions, looks great.",1
1578434775-4896,Cathy M,Great item!,"I normally HATE installing these things, and it usually never ends well...  the directions, tips and tricks included with this are great.  I managed to get it on the iPad with no problem and you would never know there is a screen protector on it.  It fits perfectly and is holding up better than any other protector for any device I’ve ever had.",1
1578435859-8886,Dennis Maher,Ive never been so happy w/ a screen protector lol I need a new ...,This thing took 2 whacks and has protected my screen. Ive never been so happy w a screw protector lol I need a new one Bc it cracked but better to replace this than the iPad screen!!,1
1578435248-6669,Anna Banana,I love the way it was packaged,"I love the way it was packaged. Looked like an iPad case being shipped to you. Easy to apply on as well, especially since it came with all the materials you'd need to put on the screen protector. The microfiber cloth came in handy as well because I could now use it to clean my iPad.",1
1578434960-5599,D. R. Edmonds,I’m sure it’s ok for most people,I think it was just my install but I could never get all the bubbles out so I ended up removing the protector. It seems to work fine for most others just not me.,1
1578435008-5775,Jordan Kellner,Great instructions and flawless result,The instructions were super clear and I got a perfect finish which is hard to accomplish for most screen protectors. I would definitely recommend this.,1
