web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1578435708-8343","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Polly","Like","December 8, 2018","So far so good","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_389?ie=UTF8&pageNumber=389&reviewerType=all_reviews"
"1578435601-7934","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Fine","November 17, 2019","When a cover is added to it it can make the screen protector lift up","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_348?ie=UTF8&pageNumber=348&reviewerType=all_reviews"
"1578435221-6562","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","B. Peden","Perfect for iPad","December 29, 2019","No issues installing. Works great!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_211?ie=UTF8&pageNumber=211&reviewerType=all_reviews"
"1578435279-6781","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jason McMurry","Received and installed the product yesterday. It came with ...","April 22, 2018","Received and installed the product yesterday. It came with the standard alcohol pad, dry pad, and adhesive dust remover to help prep my screen, which was handy. It also came with 3 adhesive “hinges” and instructions on how to align the protector perfectly. I thought this was unique and simple. Worked perfectly.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_233?ie=UTF8&pageNumber=233&reviewerType=all_reviews"
"1578435305-6876","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Great customer service","January 14, 2019","I received the product and it Did not work. Put a lot of air bubbles underneath and I have used multiple screen protectors in the past.  The company kindly contacted me and sent another. The second worked well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_242?ie=UTF8&pageNumber=242&reviewerType=all_reviews"
"1578435917-9092","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","L. Wilson","Great product. Installation instructions are easy to follow and ...","June 22, 2018","Great product. Installation instructions are easy to follow and simple. The product covers the entire screen of my IPad Air","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_464?ie=UTF8&pageNumber=464&reviewerType=all_reviews"
"1578435155-6324","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","AmazonAddict","Easy to install!","February 2, 2019","I love this product. The system they use made this the easiest install I've ever done.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_187?ie=UTF8&pageNumber=187&reviewerType=all_reviews"
"1578435747-8494","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Daniel Hartmann","Awesome","December 10, 2018","Couldn’t be happier","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_404?ie=UTF8&pageNumber=404&reviewerType=all_reviews"
"1578435063-5979","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sarah Hamilton","cheaply made","July 31, 2019","Seemed great at first, was easy to install but has cracked after one month of use. There is also no anti-glare features that were claimed or smudge-proof.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_152?ie=UTF8&pageNumber=152&reviewerType=all_reviews"
"1578435542-7702","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jared","Good quality and quick delivery.","January 16, 2019","Good quality and quick delivery.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_325?ie=UTF8&pageNumber=325&reviewerType=all_reviews"
